model,family,size_b,arch,tier,corpus,primitive,ca,acc_target,acc_retain,log_params
llama-3.2-3b,Meta,3.0,Dense Transformer,1.7-3.8B,core_math,Proof,-0.1173,0.6928,0.8101,9.477121254719663
llama-3.2-3b,Meta,3.0,Dense Transformer,1.7-3.8B,ctr_cc,Causal,0.2477,0.7062,0.4585,9.477121254719663
llama-3.2-3b,Meta,3.0,Dense Transformer,1.7-3.8B,mor_cc,Moral,0.1207,0.2236,0.1029,9.477121254719663
llama-3.2-3b,Meta,3.0,Dense Transformer,1.7-3.8B,null_cc,Null,0.0071,0.9915,0.9844,9.477121254719663
llama-3.2-3b,Meta,3.0,Dense Transformer,1.7-3.8B,spl_cc,Math,0.6172,0.6172,0.0,9.477121254719663
llama-3.2-3b,Meta,3.0,Dense Transformer,1.7-3.8B,stp_cc,Spatial,0.2577,0.5012,0.2435,9.477121254719663
llama-3.2-3b,Meta,3.0,Dense Transformer,1.7-3.8B,str_cc,Strategic,0.5185,0.6718,0.1533,9.477121254719663
llama-3.2-3b,Meta,3.0,Dense Transformer,1.7-3.8B,tom_cc,ToM,0.2136,0.3412,0.1276,9.477121254719663
mamba-2.8b,EleutherAI,2.8,Pure SSM,1.7-3.8B,core_math,Proof,-0.0265,0.009,0.0356,9.44715803134222
mamba-2.8b,EleutherAI,2.8,Pure SSM,1.7-3.8B,ctr_cc,Causal,0.2361,0.3079,0.0718,9.44715803134222
mamba-2.8b,EleutherAI,2.8,Pure SSM,1.7-3.8B,mor_cc,Moral,0.011,0.0623,0.0513,9.44715803134222
mamba-2.8b,EleutherAI,2.8,Pure SSM,1.7-3.8B,null_cc,Null,-0.0807,0.6166,0.6973,9.44715803134222
mamba-2.8b,EleutherAI,2.8,Pure SSM,1.7-3.8B,spl_cc,Math,0.4833,0.4833,0.0,9.44715803134222
mamba-2.8b,EleutherAI,2.8,Pure SSM,1.7-3.8B,stp_cc,Spatial,0.1113,0.2435,0.1322,9.44715803134222
mamba-2.8b,EleutherAI,2.8,Pure SSM,1.7-3.8B,str_cc,Strategic,0.3038,0.3476,0.0438,9.44715803134222
mamba-2.8b,EleutherAI,2.8,Pure SSM,1.7-3.8B,tom_cc,ToM,0.0541,0.1227,0.0686,9.44715803134222
mistral-7b,Mistral,7.0,Dense Transformer,7-9B,ctr_cc,Causal,0.2269,0.7302,0.5033,9.845098040014257
mistral-7b,Mistral,7.0,Dense Transformer,7-9B,mor_cc,Moral,0.1205,0.2891,0.1686,9.845098040014257
mistral-7b,Mistral,7.0,Dense Transformer,7-9B,null_cc,Null,0.0118,0.9372,0.9254,9.845098040014257
mistral-7b,Mistral,7.0,Dense Transformer,7-9B,spl_cc,Math,0.4162,0.4162,0.0,9.845098040014257
mistral-7b,Mistral,7.0,Dense Transformer,7-9B,stp_cc,Spatial,0.2538,0.4905,0.2368,9.845098040014257
mistral-7b,Mistral,7.0,Dense Transformer,7-9B,str_cc,Strategic,0.4827,0.8265,0.3438,9.845098040014257
mistral-7b,Mistral,7.0,Dense Transformer,7-9B,tom_cc,ToM,0.2602,0.4242,0.1639,9.845098040014257
mistral-7b-instruct-v0.2,Mistral,7.0,Dense Transformer (Instruct),7-9B,ctr_cc,Causal,0.11,0.9762,0.8662,9.845098040014257
mistral-7b-instruct-v0.2,Mistral,7.0,Dense Transformer (Instruct),7-9B,mor_cc,Moral,-0.002,0.4986,0.5006,9.845098040014257
mistral-7b-instruct-v0.2,Mistral,7.0,Dense Transformer (Instruct),7-9B,null_cc,Null,0.2588,0.4882,0.2294,9.845098040014257
mistral-7b-instruct-v0.2,Mistral,7.0,Dense Transformer (Instruct),7-9B,spl_cc,Math,0.6651,0.6651,0.0,9.845098040014257
mistral-7b-instruct-v0.2,Mistral,7.0,Dense Transformer (Instruct),7-9B,stp_cc,Spatial,0.2791,0.4239,0.1449,9.845098040014257
mistral-7b-instruct-v0.2,Mistral,7.0,Dense Transformer (Instruct),7-9B,str_cc,Strategic,0.4248,0.8209,0.3961,9.845098040014257
mistral-7b-instruct-v0.2,Mistral,7.0,Dense Transformer (Instruct),7-9B,tom_cc,ToM,0.0816,0.5147,0.4332,9.845098040014257
mistral-nemo-12b-base,Mistral,12.0,Dense Transformer,12-14B,ctr_cc,Causal,0.1427,0.8535,0.7108,10.079181246047625
mistral-nemo-12b-base,Mistral,12.0,Dense Transformer,12-14B,mor_cc,Moral,0.1041,0.2371,0.1331,10.079181246047625
mistral-nemo-12b-base,Mistral,12.0,Dense Transformer,12-14B,null_cc,Null,-0.0521,0.929,0.9811,10.079181246047625
mistral-nemo-12b-base,Mistral,12.0,Dense Transformer,12-14B,spl_cc,Math,0.6305,0.6305,0.0,10.079181246047625
mistral-nemo-12b-base,Mistral,12.0,Dense Transformer,12-14B,stp_cc,Spatial,0.1384,0.3992,0.2608,10.079181246047625
mistral-nemo-12b-base,Mistral,12.0,Dense Transformer,12-14B,str_cc,Strategic,0.475,0.8637,0.3887,10.079181246047625
mistral-nemo-12b-base,Mistral,12.0,Dense Transformer,12-14B,tom_cc,ToM,0.2582,0.5069,0.2487,10.079181246047625
olmo-2-13b,AI2,13.0,Dense Transformer,12-14B,ctr_cc,Causal,0.3778,0.668,0.2903,10.113943352306837
olmo-2-13b,AI2,13.0,Dense Transformer,12-14B,mor_cc,Moral,0.1396,0.288,0.1484,10.113943352306837
olmo-2-13b,AI2,13.0,Dense Transformer,12-14B,null_cc,Null,-0.0163,0.974,0.9903,10.113943352306837
olmo-2-13b,AI2,13.0,Dense Transformer,12-14B,spl_cc,Math,0.6712,0.6712,0.0,10.113943352306837
olmo-2-13b,AI2,13.0,Dense Transformer,12-14B,stp_cc,Spatial,0.1761,0.4907,0.3145,10.113943352306837
olmo-2-13b,AI2,13.0,Dense Transformer,12-14B,str_cc,Strategic,0.3538,0.4399,0.0861,10.113943352306837
olmo-2-13b,AI2,13.0,Dense Transformer,12-14B,tom_cc,ToM,0.0881,0.2106,0.1224,10.113943352306837
olmo-2-7b,AI2,7.0,Dense Transformer,7-9B,ctr_cc,Causal,0.306,0.7489,0.443,9.845098040014257
olmo-2-7b,AI2,7.0,Dense Transformer,7-9B,mor_cc,Moral,0.2141,0.3862,0.1721,9.845098040014257
olmo-2-7b,AI2,7.0,Dense Transformer,7-9B,null_cc,Null,0.2535,0.8046,0.5511,9.845098040014257
olmo-2-7b,AI2,7.0,Dense Transformer,7-9B,spl_cc,Math,0.6783,0.6783,0.0,9.845098040014257
olmo-2-7b,AI2,7.0,Dense Transformer,7-9B,stp_cc,Spatial,0.169,0.4902,0.3213,9.845098040014257
olmo-2-7b,AI2,7.0,Dense Transformer,7-9B,str_cc,Strategic,0.3686,0.4705,0.1019,9.845098040014257
olmo-2-7b,AI2,7.0,Dense Transformer,7-9B,tom_cc,ToM,0.079,0.21,0.131,9.845098040014257
olmo-7b,AI2,7.0,Dense Transformer,7-9B,core_math,Proof,-0.0338,0.132,0.1657,9.845098040014257
olmo-7b,AI2,7.0,Dense Transformer,7-9B,ctr_cc,Causal,0.2857,0.4057,0.12,9.845098040014257
olmo-7b,AI2,7.0,Dense Transformer,7-9B,mor_cc,Moral,0.1415,0.3021,0.1606,9.845098040014257
olmo-7b,AI2,7.0,Dense Transformer,7-9B,null_cc,Null,0.4066,0.7386,0.332,9.845098040014257
olmo-7b,AI2,7.0,Dense Transformer,7-9B,spl_cc,Math,0.715,0.715,0.0,9.845098040014257
olmo-7b,AI2,7.0,Dense Transformer,7-9B,stp_cc,Spatial,0.1616,0.4926,0.331,9.845098040014257
olmo-7b,AI2,7.0,Dense Transformer,7-9B,str_cc,Strategic,0.4296,0.5764,0.1468,9.845098040014257
olmo-7b,AI2,7.0,Dense Transformer,7-9B,tom_cc,ToM,0.0692,0.1752,0.106,9.845098040014257
phi-3-medium,Microsoft,14.0,Dense Transformer,12-14B,ctr_cc,Causal,0.0857,0.9807,0.895,10.146128035678238
phi-3-medium,Microsoft,14.0,Dense Transformer,12-14B,mor_cc,Moral,-0.0134,0.77,0.7834,10.146128035678238
phi-3-medium,Microsoft,14.0,Dense Transformer,12-14B,null_cc,Null,0.0615,0.9517,0.8901,10.146128035678238
phi-3-medium,Microsoft,14.0,Dense Transformer,12-14B,spl_cc,Math,0.7228,0.7228,0.0,10.146128035678238
phi-3-medium,Microsoft,14.0,Dense Transformer,12-14B,stp_cc,Spatial,0.2038,0.3513,0.1476,10.146128035678238
phi-3-medium,Microsoft,14.0,Dense Transformer,12-14B,str_cc,Strategic,0.2786,0.9791,0.7004,10.146128035678238
phi-3-medium,Microsoft,14.0,Dense Transformer,12-14B,tom_cc,ToM,0.1247,0.554,0.4292,10.146128035678238
phi-3-mini,Microsoft,3.8,Dense Transformer,1.7-3.8B,core_math,Proof,-0.0534,0.9447,0.9981,9.57978359661681
phi-3-mini,Microsoft,3.8,Dense Transformer,1.7-3.8B,ctr_cc,Causal,0.0798,0.9664,0.8866,9.57978359661681
phi-3-mini,Microsoft,3.8,Dense Transformer,1.7-3.8B,mor_cc,Moral,0.1244,0.7819,0.6575,9.57978359661681
phi-3-mini,Microsoft,3.8,Dense Transformer,1.7-3.8B,null_cc,Null,0.4767,0.7884,0.3118,9.57978359661681
phi-3-mini,Microsoft,3.8,Dense Transformer,1.7-3.8B,spl_cc,Math,0.716,0.716,0.0,9.57978359661681
phi-3-mini,Microsoft,3.8,Dense Transformer,1.7-3.8B,stp_cc,Spatial,0.1428,0.3362,0.1933,9.57978359661681
phi-3-mini,Microsoft,3.8,Dense Transformer,1.7-3.8B,str_cc,Strategic,0.3308,0.9578,0.627,9.57978359661681
phi-3-mini,Microsoft,3.8,Dense Transformer,1.7-3.8B,tom_cc,ToM,0.1308,0.5393,0.4085,9.57978359661681
phi-3.5-mini,Microsoft,3.8,Dense Transformer (Instruct),1.7-3.8B,core_math,Proof,-0.2152,0.7824,0.9976,9.57978359661681
phi-3.5-mini,Microsoft,3.8,Dense Transformer (Instruct),1.7-3.8B,ctr_cc,Causal,0.0627,0.9758,0.9131,9.57978359661681
phi-3.5-mini,Microsoft,3.8,Dense Transformer (Instruct),1.7-3.8B,mor_cc,Moral,-0.035,0.7748,0.8098,9.57978359661681
