model,family,size_b,arch,tier,corpus,primitive,ca_raw,delta,ca_corrected
olmo-7b,AI2,7.0,Dense Transformer,7-9B,null_cc,Null,0.4066,0.700,-0.2934
olmo-7b,AI2,7.0,Dense Transformer,7-9B,stp_cc,Spatial,0.1616,0.000,0.1616
olmo-7b,AI2,7.0,Dense Transformer,7-9B,str_cc,Strategic,0.4296,0.220,0.2096
olmo-7b,AI2,7.0,Dense Transformer,7-9B,tom_cc,ToM,0.0692,0.140,-0.0708
phi-3-medium,Microsoft,14.0,Dense Transformer,12-14B,ctr_cc,Causal,0.0857,0.160,-0.0743
phi-3-medium,Microsoft,14.0,Dense Transformer,12-14B,mor_cc,Moral,-0.0134,0.000,-0.0134
phi-3-medium,Microsoft,14.0,Dense Transformer,12-14B,null_cc,Null,0.0615,0.700,-0.6385
phi-3-medium,Microsoft,14.0,Dense Transformer,12-14B,stp_cc,Spatial,0.2038,0.000,0.2038
phi-3-medium,Microsoft,14.0,Dense Transformer,12-14B,str_cc,Strategic,0.2786,0.220,0.0586
phi-3-medium,Microsoft,14.0,Dense Transformer,12-14B,tom_cc,ToM,0.1247,0.140,-0.0153
phi-3-mini,Microsoft,3.8,Dense Transformer,1.7-3.8B,ctr_cc,Causal,0.0798,0.160,-0.0802
phi-3-mini,Microsoft,3.8,Dense Transformer,1.7-3.8B,mor_cc,Moral,0.1244,0.000,0.1244
phi-3-mini,Microsoft,3.8,Dense Transformer,1.7-3.8B,null_cc,Null,0.4767,0.700,-0.2233
phi-3-mini,Microsoft,3.8,Dense Transformer,1.7-3.8B,stp_cc,Spatial,0.1428,0.000,0.1428
phi-3-mini,Microsoft,3.8,Dense Transformer,1.7-3.8B,str_cc,Strategic,0.3308,0.220,0.1108
phi-3-mini,Microsoft,3.8,Dense Transformer,1.7-3.8B,tom_cc,ToM,0.1308,0.140,-0.0092
phi-3.5-mini,Microsoft,3.8,Dense Transformer (Instruct),1.7-3.8B,ctr_cc,Causal,0.0627,0.160,-0.0973
phi-3.5-mini,Microsoft,3.8,Dense Transformer (Instruct),1.7-3.8B,mor_cc,Moral,-0.0350,0.000,-0.0350
phi-3.5-mini,Microsoft,3.8,Dense Transformer (Instruct),1.7-3.8B,null_cc,Null,0.5465,0.700,-0.1535
phi-3.5-mini,Microsoft,3.8,Dense Transformer (Instruct),1.7-3.8B,stp_cc,Spatial,0.1573,0.000,0.1573
phi-3.5-mini,Microsoft,3.8,Dense Transformer (Instruct),1.7-3.8B,str_cc,Strategic,0.3829,0.220,0.1629
phi-3.5-mini,Microsoft,3.8,Dense Transformer (Instruct),1.7-3.8B,tom_cc,ToM,0.0977,0.140,-0.0423
pythia-6.9b,EleutherAI,6.9,Dense Transformer,7-9B,ctr_cc,Causal,0.2279,0.160,0.0679
pythia-6.9b,EleutherAI,6.9,Dense Transformer,7-9B,mor_cc,Moral,-0.0015,0.000,-0.0015
pythia-6.9b,EleutherAI,6.9,Dense Transformer,7-9B,null_cc,Null,0.0475,0.700,-0.6525
pythia-6.9b,EleutherAI,6.9,Dense Transformer,7-9B,stp_cc,Spatial,0.1723,0.000,0.1723
pythia-6.9b,EleutherAI,6.9,Dense Transformer,7-9B,str_cc,Strategic,0.2057,0.220,-0.0143
pythia-6.9b,EleutherAI,6.9,Dense Transformer,7-9B,tom_cc,ToM,0.0709,0.140,-0.0691
qwen-2-7b,Alibaba,7.0,Dense Transformer,7-9B,ctr_cc,Causal,0.1523,0.160,-0.0077
qwen-2-7b,Alibaba,7.0,Dense Transformer,7-9B,mor_cc,Moral,-0.0784,0.000,-0.0784
qwen-2-7b,Alibaba,7.0,Dense Transformer,7-9B,null_cc,Null,-0.0293,0.700,-0.7293
qwen-2-7b,Alibaba,7.0,Dense Transformer,7-9B,stp_cc,Spatial,0.2271,0.000,0.2271
qwen-2-7b,Alibaba,7.0,Dense Transformer,7-9B,str_cc,Strategic,0.5626,0.220,0.3426
qwen-2-7b,Alibaba,7.0,Dense Transformer,7-9B,tom_cc,ToM,-0.0184,0.140,-0.1584
qwen-2.5-1.5b,Alibaba,1.5,Dense Transformer,1.7-3.8B,ctr_cc,Causal,0.4203,0.160,0.2603
qwen-2.5-1.5b,Alibaba,1.5,Dense Transformer,1.7-3.8B,mor_cc,Moral,0.0003,0.000,0.0003
qwen-2.5-1.5b,Alibaba,1.5,Dense Transformer,1.7-3.8B,null_cc,Null,0.2777,0.700,-0.4223
qwen-2.5-1.5b,Alibaba,1.5,Dense Transformer,1.7-3.8B,stp_cc,Spatial,0.0905,0.000,0.0905
qwen-2.5-1.5b,Alibaba,1.5,Dense Transformer,1.7-3.8B,str_cc,Strategic,0.4212,0.220,0.2012
qwen-2.5-1.5b,Alibaba,1.5,Dense Transformer,1.7-3.8B,tom_cc,ToM,0.0538,0.140,-0.0862
qwen-2.5-14b,Alibaba,14.0,Dense Transformer,12-14B,ctr_cc,Causal,0.1019,0.160,-0.0581
qwen-2.5-14b,Alibaba,14.0,Dense Transformer,12-14B,mor_cc,Moral,0.1955,0.000,0.1955
qwen-2.5-14b,Alibaba,14.0,Dense Transformer,12-14B,null_cc,Null,-0.0061,0.700,-0.7061
qwen-2.5-14b,Alibaba,14.0,Dense Transformer,12-14B,stp_cc,Spatial,0.1794,0.000,0.1794
qwen-2.5-14b,Alibaba,14.0,Dense Transformer,12-14B,str_cc,Strategic,0.3777,0.220,0.1577
qwen-2.5-14b,Alibaba,14.0,Dense Transformer,12-14B,tom_cc,ToM,0.0629,0.140,-0.0771
qwen-2.5-14b-instruct,Alibaba,14.0,Dense Transformer (Instruct),12-14B,ctr_cc,Causal,0.0429,0.160,-0.1171
qwen-2.5-14b-instruct,Alibaba,14.0,Dense Transformer (Instruct),12-14B,mor_cc,Moral,0.0934,0.000,0.0934
qwen-2.5-14b-instruct,Alibaba,14.0,Dense Transformer (Instruct),12-14B,null_cc,Null,0.4526,0.700,-0.2474
qwen-2.5-14b-instruct,Alibaba,14.0,Dense Transformer (Instruct),12-14B,stp_cc,Spatial,0.3032,0.000,0.3032
qwen-2.5-14b-instruct,Alibaba,14.0,Dense Transformer (Instruct),12-14B,str_cc,Strategic,0.1981,0.220,-0.0219
qwen-2.5-14b-instruct,Alibaba,14.0,Dense Transformer (Instruct),12-14B,tom_cc,ToM,0.0127,0.140,-0.1273
qwen-2.5-32b-instruct-awq,Alibaba,32.0,"Dense Transformer (Instruct, AWQ Int4)",27-72B,ctr_cc,Causal,0.0444,0.160,-0.1156
qwen-2.5-32b-instruct-awq,Alibaba,32.0,"Dense Transformer (Instruct, AWQ Int4)",27-72B,mor_cc,Moral,0.0486,0.000,0.0486
qwen-2.5-32b-instruct-awq,Alibaba,32.0,"Dense Transformer (Instruct, AWQ Int4)",27-72B,null_cc,Null,0.2207,0.700,-0.4793
qwen-2.5-32b-instruct-awq,Alibaba,32.0,"Dense Transformer (Instruct, AWQ Int4)",27-72B,stp_cc,Spatial,0.2468,0.000,0.2468
qwen-2.5-32b-instruct-awq,Alibaba,32.0,"Dense Transformer (Instruct, AWQ Int4)",27-72B,str_cc,Strategic,0.2834,0.220,0.0634
qwen-2.5-32b-instruct-awq,Alibaba,32.0,"Dense Transformer (Instruct, AWQ Int4)",27-72B,tom_cc,ToM,0.0660,0.140,-0.0740
qwen-2.5-3b,Alibaba,3.0,Dense Transformer,1.7-3.8B,ctr_cc,Causal,0.2114,0.160,0.0514
qwen-2.5-3b,Alibaba,3.0,Dense Transformer,1.7-3.8B,mor_cc,Moral,0.1532,0.000,0.1532
qwen-2.5-3b,Alibaba,3.0,Dense Transformer,1.7-3.8B,null_cc,Null,0.1245,0.700,-0.5755
qwen-2.5-3b,Alibaba,3.0,Dense Transformer,1.7-3.8B,stp_cc,Spatial,0.1523,0.000,0.1523
qwen-2.5-3b,Alibaba,3.0,Dense Transformer,1.7-3.8B,str_cc,Strategic,0.5150,0.220,0.2950
qwen-2.5-3b,Alibaba,3.0,Dense Transformer,1.7-3.8B,tom_cc,ToM,0.0851,0.140,-0.0549
qwen-2.5-7b,Alibaba,7.0,Dense Transformer,7-9B,ctr_cc,Causal,0.1531,0.160,-0.0069
qwen-2.5-7b,Alibaba,7.0,Dense Transformer,7-9B,mor_cc,Moral,0.1325,0.000,0.1325
qwen-2.5-7b,Alibaba,7.0,Dense Transformer,7-9B,null_cc,Null,0.4501,0.700,-0.2499
qwen-2.5-7b,Alibaba,7.0,Dense Transformer,7-9B,stp_cc,Spatial,0.1745,0.000,0.1745
qwen-2.5-7b,Alibaba,7.0,Dense Transformer,7-9B,str_cc,Strategic,0.4189,0.220,0.1989
qwen-2.5-7b,Alibaba,7.0,Dense Transformer,7-9B,tom_cc,ToM,0.1417,0.140,0.0017
smollm-1.7b,HuggingFace,1.7,Dense Transformer,1.7-3.8B,ctr_cc,Causal,0.3595,0.160,0.1995
smollm-1.7b,HuggingFace,1.7,Dense Transformer,1.7-3.8B,mor_cc,Moral,0.0592,0.000,0.0592
smollm-1.7b,HuggingFace,1.7,Dense Transformer,1.7-3.8B,null_cc,Null,0.2319,0.700,-0.4681
smollm-1.7b,HuggingFace,1.7,Dense Transformer,1.7-3.8B,stp_cc,Spatial,0.1998,0.000,0.1998
smollm-1.7b,HuggingFace,1.7,Dense Transformer,1.7-3.8B,str_cc,Strategic,0.3561,0.220,0.1361
smollm-1.7b,HuggingFace,1.7,Dense Transformer,1.7-3.8B,tom_cc,ToM,0.0711,0.140,-0.0689
smollm-360m,HuggingFace,0.36,Dense Transformer,<1B,ctr_cc,Causal,0.2938,0.160,0.1338
smollm-360m,HuggingFace,0.36,Dense Transformer,<1B,mor_cc,Moral,0.0741,0.000,0.0741
smollm-360m,HuggingFace,0.36,Dense Transformer,<1B,null_cc,Null,0.3063,0.700,-0.3937
smollm-360m,HuggingFace,0.36,Dense Transformer,<1B,stp_cc,Spatial,0.0889,0.000,0.0889
smollm-360m,HuggingFace,0.36,Dense Transformer,<1B,str_cc,Strategic,0.3704,0.220,0.1504
smollm-360m,HuggingFace,0.36,Dense Transformer,<1B,tom_cc,ToM,0.0574,0.140,-0.0826
yi-1.5-34b,01.AI,34.0,Dense Transformer,27-72B,ctr_cc,Causal,0.1659,0.160,0.0059
yi-1.5-34b,01.AI,34.0,Dense Transformer,27-72B,mor_cc,Moral,0.1322,0.000,0.1322
yi-1.5-34b,01.AI,34.0,Dense Transformer,27-72B,null_cc,Null,0.0318,0.700,-0.6682
